date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:32:48	462/462	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/images/emoji.php/v9/fcc/1/16/1f3bc.png	D:/Data/Projects/E-commerial/E-commerial/static.xx.fbcdn.net/images/emoji.php/v9/fcc/1/16/1f3bc.png	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3724?c=%c4%90EN)
20:32:48	772/772	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/images/emoji.php/v9/fe0/1/16/1f95d.png	D:/Data/Projects/E-commerial/E-commerial/static.xx.fbcdn.net/images/emoji.php/v9/fe0/1/16/1f95d.png	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3724?c=%c4%90EN)
20:32:48	544/544	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/images/emoji.php/v9/ffd/1/16/1f3a3.png	D:/Data/Projects/E-commerial/E-commerial/static.xx.fbcdn.net/images/emoji.php/v9/ffd/1/16/1f3a3.png	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3724?c=%c4%90EN)
20:32:49	469/469	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/images/emoji.php/v9/fa2/1/16/1f390.png	D:/Data/Projects/E-commerial/E-commerial/static.xx.fbcdn.net/images/emoji.php/v9/fa2/1/16/1f390.png	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3724?c=%c4%90EN)
20:32:49	33515/33515	---M--	200	added ('OK')	image/jpg	date:Fri,%2009%20Nov%202018%2013:32:44%20GMT	http://img.mwc.com.vn/giay-thoi-trang?&w=600&h=600&FileInput=//Upload/2018/10/tb2ogoxauusbunjssplxxbe8pxa-2888003610.jpg	D:/Data/Projects/E-commerial/E-commerial/img.mwc.com.vn/mwca975.jpg	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3724?c=%c4%90EN)
20:32:49	39949/39949	---M--	200	added ('OK')	image/jpeg	etag:%224bbb37298d68d41:0%22	https://mwc.com.vn/FolderUpload/2132/44468769_2500254910015134_3046715938536685568_n.jpg	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/FolderUpload/2132/44468769_2500254910015134_3046715938536685568_n.jpg	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3724?c=%c4%90EN)
20:32:49	54697/54697	---M--	200	added ('OK')	image/jpeg	etag:%22ba6c56298d68d41:0%22	https://mwc.com.vn/FolderUpload/2132/44484137_2500255660015059_2603876326095978496_n.jpg	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/FolderUpload/2132/44484137_2500255660015059_2603876326095978496_n.jpg	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3724?c=%c4%90EN)
20:32:49	229317/229317	---M--	200	added ('OK')	image/jpeg	etag:%224de7eedc367d41:0%22	https://mwc.com.vn/FolderUpload/1/2132/44330336_2053109631667127_5722157436375138304_n.jpg	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/FolderUpload/1/2132/44330336_2053109631667127_5722157436375138304_n.jpg	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3724?c=%c4%90EN)
20:32:50	116626/116626	---M--	200	added ('OK')	image/jpeg	etag:%2222eaa2752866d41:0%22	https://mwc.com.vn/FolderUpload/1/3724/TB1CjuiynJYBeNjy1zeXXahzVXa_0-item_pic.jpg	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/FolderUpload/1/3724/TB1CjuiynJYBeNjy1zeXXahzVXa_0-item_pic.jpg	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3724?c=%c4%90EN)
20:32:50	377346/377346	---M--	200	added ('OK')	image/jpeg	etag:%223cc962772866d41:0%22	https://mwc.com.vn/FolderUpload/1/3724/TB23lsJs7CWBuNjy0FaXXXUlXXa_735617018.jpg	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/FolderUpload/1/3724/TB23lsJs7CWBuNjy0FaXXXUlXXa_735617018.jpg	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3724?c=%c4%90EN)
20:32:50	108850/108850	---M--	200	added ('OK')	image/jpeg	etag:%227f5381772866d41:0%22	https://mwc.com.vn/FolderUpload/1/3724/TB28auBpIyYBuNkSnfoXXcWgVXa_89783799.jpg	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/FolderUpload/1/3724/TB28auBpIyYBuNkSnfoXXcWgVXa_89783799.jpg	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3724?c=%c4%90EN)
20:32:51	430792/430792	---M--	200	added ('OK')	image/jpeg	etag:%22199acc752866d41:0%22	https://mwc.com.vn/FolderUpload/1/3724/TB2ARkDs7yWBuNjy0FpXXassXXa_735617018.jpg	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/FolderUpload/1/3724/TB2ARkDs7yWBuNjy0FpXXassXXa_735617018.jpg	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3724?c=%c4%90EN)
20:32:51	90874/90874	---M--	200	added ('OK')	image/jpeg	etag:%22d439ea752866d41:0%22	https://mwc.com.vn/FolderUpload/1/3724/TB2DapBitknBKNjSZKPXXX6OFXa_89783799.jpg	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/FolderUpload/1/3724/TB2DapBitknBKNjSZKPXXX6OFXa_89783799.jpg	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3724?c=%c4%90EN)
20:32:51	85263/85263	---M--	200	added ('OK')	image/jpeg	etag:%22827413762866d41:0%22	https://mwc.com.vn/FolderUpload/1/3724/TB2DfZ7x21TBuNjy0FjXXajyXXa_89783799.jpg	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/FolderUpload/1/3724/TB2DfZ7x21TBuNjy0FjXXajyXXa_89783799.jpg	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3724?c=%c4%90EN)
20:32:51	366003/366003	---M--	200	added ('OK')	image/jpeg	etag:%227d395b762866d41:0%22	https://mwc.com.vn/FolderUpload/1/3724/TB2kB.Bs1uSBuNjSsziXXbq8pXa_735617018.jpg	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/FolderUpload/1/3724/TB2kB.Bs1uSBuNjSsziXXbq8pXa_735617018.jpg	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3724?c=%c4%90EN)
20:32:52	379141/379141	---M--	200	added ('OK')	image/jpeg	etag:%225ea7e762866d41:0%22	https://mwc.com.vn/FolderUpload/1/3724/TB2MyQhsYGYBuNjy0FoXXciBFXa_735617018.jpg	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/FolderUpload/1/3724/TB2MyQhsYGYBuNjy0FoXXciBFXa_735617018.jpg	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3724?c=%c4%90EN)
20:32:52	336475/336475	---M--	200	added ('OK')	image/jpeg	etag:%22126ca7762866d41:0%22	https://mwc.com.vn/FolderUpload/1/3724/TB2OgOxAuuSBuNjSsplXXbe8pXa_2888003610.jpg	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/FolderUpload/1/3724/TB2OgOxAuuSBuNjSsplXXbe8pXa_2888003610.jpg	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3724?c=%c4%90EN)
20:32:52	425501/425501	---M--	200	added ('OK')	image/jpeg	etag:%224cd9ca762866d41:0%22	https://mwc.com.vn/FolderUpload/1/3724/TB2PuMJsY5YBuNjSspoXXbeNFXa_735617018.jpg	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/FolderUpload/1/3724/TB2PuMJsY5YBuNjSspoXXbeNFXa_735617018.jpg	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3724?c=%c4%90EN)
20:32:52	462917/462917	---M--	200	added ('OK')	image/jpeg	etag:%2252f8ed762866d41:0%22	https://mwc.com.vn/FolderUpload/1/3724/TB2r3cus1SSBuNjy0FlXXbBpVXa_735617018.jpg	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/FolderUpload/1/3724/TB2r3cus1SSBuNjy0FlXXbBpVXa_735617018.jpg	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3724?c=%c4%90EN)
20:32:53	344619/344619	---M--	200	added ('OK')	image/jpeg	etag:%22531711772866d41:0%22	https://mwc.com.vn/FolderUpload/1/3724/TB2szA4r4uTBuNkHFNRXXc9qpXa_2888003610.jpg	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/FolderUpload/1/3724/TB2szA4r4uTBuNkHFNRXXc9qpXa_2888003610.jpg	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3724?c=%c4%90EN)
20:32:54	99062/99062	---M--	200	added ('OK')	text/html	date:Fri,%2009%20Nov%202018%2013:32:52%20GMT	http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3724?c=TR%E1%BA%AENG	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/products/giay-cao-got-mwc-nucg--37240d8b.html	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3724?c=TR%e1%ba%aeNG)
20:32:54	400793/400793	---M--	200	added ('OK')	image/jpeg	etag:%22355841772866d41:0%22	https://mwc.com.vn/FolderUpload/1/3724/TB2tBZTs4SYBuNjSspjXXX73VXa_735617018.jpg	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/FolderUpload/1/3724/TB2tBZTs4SYBuNjSspjXXX73VXa_735617018.jpg	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3724?c=%c4%90EN)
20:32:54	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2009%20Nov%202018%2013:32:52%20GMT	https://mwc.com.vn///Upload/2018/10/44484137-2500255660015059-2603876326095978496-n.jpg	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/Upload/2018/10/44484137-2500255660015059-2603876326095978496-n.d20.delayed	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3724?c=TR%e1%ba%aeNG)
20:32:56	33855/33855	---M--	200	added ('OK')	image/jpg	date:Fri,%2009%20Nov%202018%2013:32:52%20GMT	http://img.mwc.com.vn/giay-thoi-trang?&w=600&h=600&FileInput=//Upload/2018/10/44484137-2500255660015059-2603876326095978496-n.jpg	D:/Data/Projects/E-commerial/E-commerial/img.mwc.com.vn/mwc4d5f.jpg	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3724?c=TR%e1%ba%aeNG)
20:32:56	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2009%20Nov%202018%2013:32:53%20GMT	https://mwc.com.vn///Upload/2018/10/44774018-684949968544031-6004997546965991424-n.jpg	D:/Data/Projects/E-commerial/E-commerial/mwc.com.vn/Upload/2018/10/44774018-684949968544031-6004997546965991424-n.d22.delayed	(from http://mwc.com.vn/products/giay-cao-got-mwc-nucg--3722?c=KEM)
